time	flux	sflux
5.7605207941e+04	9.9998381600e-01	1.3017939113e-05
5.7605228372e+04	1.0000188935e+00	1.3017757057e-05
5.7605248804e+04	9.9996310719e-01	1.3018128476e-05
5.7605269236e+04	1.0000119850e+00	1.3018182294e-05
5.7605289667e+04	9.9997381953e-01	1.3018706770e-05
5.7605310099e+04	1.0000530235e+00	1.3018691352e-05
5.7605330531e+04	1.0000222409e+00	1.3018326564e-05
5.7605350962e+04	9.9995933257e-01	1.3018529176e-05
5.7605371394e+04	9.9996426947e-01	1.3018912054e-05
5.7605391826e+04	1.0000226779e+00	1.3018975556e-05
5.7605412257e+04	1.0000211010e+00	1.3018906260e-05
5.7605432689e+04	9.9999858331e-01	1.3018852255e-05
5.7605453121e+04	1.0000058926e+00	1.3018789215e-05
5.7605493984e+04	1.0000402163e+00	1.3018082819e-05
5.7605514416e+04	9.9996190232e-01	1.3018503549e-05
5.7605534848e+04	1.0000351246e+00	1.3018043573e-05
5.7605555279e+04	9.9996648474e-01	1.3017785545e-05
5.7605575711e+04	9.9990368789e-01	1.3017190086e-05
5.7605596143e+04	9.9973916271e-01	1.3017586049e-05
5.7605637006e+04	9.9973177610e-01	1.3017360045e-05
5.7605657438e+04	9.9970572270e-01	1.3017227116e-05
5.7605677869e+04	9.9969707653e-01	1.3017120391e-05
5.7605718733e+04	9.9977714436e-01	1.3019713205e-05
5.7605739164e+04	1.0000772854e+00	1.3019317374e-05
5.7605759596e+04	1.0000021083e+00	1.3019165167e-05
5.7605780028e+04	9.9998677862e-01	1.3019031432e-05
5.7605800459e+04	9.9997593373e-01	1.3018838208e-05
5.7605820891e+04	9.9996812994e-01	1.3018852654e-05
5.7605841323e+04	9.9994316112e-01	1.3019643836e-05
5.7605882186e+04	9.9998570576e-01	1.3019717365e-05
5.7605902618e+04	1.0000068633e+00	1.3020680193e-05
5.7605923050e+04	1.0000990272e+00	1.3020664768e-05
5.7605943481e+04	1.0000547825e+00	1.3020432243e-05
5.7605963913e+04	9.9998737059e-01	1.3020307017e-05
5.7605984345e+04	9.9997872017e-01	1.3020754108e-05
5.7606004776e+04	1.0000025163e+00	1.3020675017e-05
5.7606025208e+04	9.9999587981e-01	1.3020727258e-05
5.7606045640e+04	9.9995384651e-01	1.3020904355e-05
5.7606066071e+04	9.9999347284e-01	1.3021090227e-05
5.7606086503e+04	1.0000317762e+00	1.3020262385e-05
5.7614769963e+04	9.9994894523e-01	1.3020712521e-05
5.7614790394e+04	1.0000343272e+00	1.3021343196e-05
5.7614810826e+04	9.9998580916e-01	1.3020766431e-05
5.7614831258e+04	9.9998525492e-01	1.3020701330e-05
5.7614851689e+04	9.9998333161e-01	1.3020311980e-05
5.7614872121e+04	1.0000168096e+00	1.3020669627e-05
5.7614892553e+04	1.0000159454e+00	1.3020373026e-05
5.7614912984e+04	1.0000312496e+00	1.3020461604e-05
5.7614933416e+04	1.0000430751e+00	1.3020638578e-05
5.7614953848e+04	1.0000425507e+00	1.3020347338e-05
5.7614974279e+04	9.9996316859e-01	1.3020919660e-05
5.7614994711e+04	1.0000206776e+00	1.3020848701e-05
5.7615015143e+04	1.0000607261e+00	1.3020582747e-05
5.7615035574e+04	9.9995834970e-01	1.3020561075e-05
5.7615056006e+04	9.9996013476e-01	1.3020381265e-05
5.7615076438e+04	9.9993456223e-01	1.3021069970e-05
5.7615096869e+04	1.0000642522e+00	1.3020440640e-05
5.7615117301e+04	1.0000132014e+00	1.3020620097e-05
5.7615137733e+04	9.9981817193e-01	1.3020440497e-05
5.7615158164e+04	9.9972975311e-01	1.3020260180e-05
5.7615178596e+04	9.9972192105e-01	1.3020769539e-05
5.7615280754e+04	9.9984402763e-01	1.3020087038e-05
5.7615301186e+04	1.0000637349e+00	1.3015734176e-05
5.7615321617e+04	1.0000311620e+00	1.3014291995e-05
5.7615342049e+04	1.0000534936e+00	1.3014171204e-05
5.7615362481e+04	9.9997257459e-01	1.3014334894e-05
5.7615382912e+04	1.0000160466e+00	1.3013922444e-05
5.7615403344e+04	9.9989097832e-01	1.3014513878e-05
5.7615423776e+04	9.9992827630e-01	1.3014887422e-05
5.7615464639e+04	1.0000320029e+00	1.3015360447e-05
5.7615485071e+04	1.0000155442e+00	1.3016290598e-05
5.7615525934e+04	1.0000795472e+00	1.3022466786e-05
5.7615546366e+04	1.0000664695e+00	1.3021256033e-05
5.7615566797e+04	1.0000140835e+00	1.3020848685e-05
5.7615587229e+04	9.9996372968e-01	1.3020784754e-05
5.7615607661e+04	1.0000096009e+00	1.3021223630e-05
5.7615628092e+04	9.9995916926e-01	1.3020673745e-05
5.7615648524e+04	9.9998240414e-01	1.3021178397e-05
5.7624311550e+04	9.9998297803e-01	1.3021419060e-05
5.7624331982e+04	9.9999167892e-01	1.3021035287e-05
5.7624352413e+04	9.9995958559e-01	1.3021368797e-05
5.7624372845e+04	1.0000078940e+00	1.3021388432e-05
5.7624393277e+04	9.9996498856e-01	1.3021381445e-05
5.7624413708e+04	1.0000105141e+00	1.3021657511e-05
5.7624434140e+04	1.0000311251e+00	1.3021727284e-05
5.7624454571e+04	9.9997176084e-01	1.3021500240e-05
5.7624475003e+04	1.0000570778e+00	1.3021567468e-05
5.7624495435e+04	1.0000420008e+00	1.3022523665e-05
5.7624515867e+04	1.0000626343e+00	1.3022273721e-05
5.7624536298e+04	1.0000115452e+00	1.3021993558e-05
5.7624597593e+04	9.9993953697e-01	1.3021647506e-05
5.7624618025e+04	9.9996698068e-01	1.3021767117e-05
5.7624638456e+04	1.0000333145e+00	1.3021512414e-05
5.7624658888e+04	9.9998065447e-01	1.3021532270e-05
5.7624679320e+04	9.9988910018e-01	1.3023778999e-05
5.7624720183e+04	9.9967072442e-01	1.3022732369e-05
5.7624740615e+04	9.9976023349e-01	1.3021436469e-05
5.7624761047e+04	9.9971606784e-01	1.3021348029e-05
5.7624781478e+04	9.9969722333e-01	1.3021285464e-05
5.7624883637e+04	9.9995562898e-01	1.3021451815e-05
5.7624924500e+04	9.9998729705e-01	1.3021375748e-05
5.7624944932e+04	1.0000024975e+00	1.3021345985e-05
5.7624965363e+04	1.0000104556e+00	1.3021385650e-05
5.7624985795e+04	9.9997854028e-01	1.3021485888e-05
5.7625047090e+04	9.9999371038e-01	1.3021338246e-05
5.7625087953e+04	1.0000113193e+00	1.3022007782e-05
5.7625149248e+04	1.0000285026e+00	1.3022594601e-05
5.7625190112e+04	9.9999840806e-01	1.3022083940e-05
5.7633914450e+04	9.9992003149e-01	1.3021921358e-05
5.7633934881e+04	1.0000440524e+00	1.3021617296e-05
5.7633955313e+04	9.9997749933e-01	1.3022268984e-05
5.7633975745e+04	1.0000450560e+00	1.3021899891e-05
5.7633996177e+04	1.0000037854e+00	1.3020412756e-05
5.7634016608e+04	1.0000167785e+00	1.3019310353e-05
5.7634098335e+04	1.0000126387e+00	1.3018613233e-05
5.7634200494e+04	9.9994220819e-01	1.3023730411e-05
5.7634220926e+04	1.0000586878e+00	1.3025182362e-05
5.7634241357e+04	9.9988173424e-01	1.3024972022e-05
5.7634302653e+04	9.9963597663e-01	1.3025316527e-05
5.7634343516e+04	9.9967204890e-01	1.3024980082e-05
5.7634404811e+04	1.0000369448e+00	1.3025586583e-05
5.7634445675e+04	9.9999720671e-01	1.3024294844e-05
5.7634486538e+04	9.9991691274e-01	1.3024051055e-05
5.7634506970e+04	1.0000560220e+00	1.3022695619e-05
5.7634649992e+04	9.9999027782e-01	1.3021426459e-05
5.7634670424e+04	1.0000039951e+00	1.3021795416e-05
5.7634731719e+04	1.0000157308e+00	1.3022009646e-05
5.7643476525e+04	1.0000075717e+00	1.3021990360e-05
5.7643517389e+04	9.9994081682e-01	1.3021830554e-05
5.7643537821e+04	1.0000071667e+00	1.3022172758e-05
5.7643558252e+04	9.9998818027e-01	1.3021879864e-05
5.7643578684e+04	1.0000261721e+00	1.3022009397e-05
5.7643599116e+04	1.0000052085e+00	1.3021797402e-05
5.7643619548e+04	1.0000401186e+00	1.3022320996e-05
5.7643639980e+04	1.0000325231e+00	1.3022637658e-05
5.7643660412e+04	9.9999184634e-01	1.3022780796e-05
5.7643742139e+04	9.9996162283e-01	1.3022100008e-05
5.7643762571e+04	9.9996265799e-01	1.3021989186e-05
5.7643783003e+04	9.9985212153e-01	1.3021167245e-05
5.7643803434e+04	9.9978778231e-01	1.3020467313e-05
5.7643823866e+04	9.9964785091e-01	1.3020233960e-05
5.7643844298e+04	9.9976024145e-01	1.3019446519e-05
5.7643864730e+04	9.9962294198e-01	1.3019589426e-05
5.7643885162e+04	9.9962501092e-01	1.3019577876e-05
5.7643966889e+04	9.9993011362e-01	1.3022567010e-05
5.7643987321e+04	9.9992111291e-01	1.3021744302e-05
5.7644007753e+04	9.9999754644e-01	1.3022174539e-05
5.7644028185e+04	1.0001237589e+00	1.3022600926e-05
5.7644048617e+04	9.9996594792e-01	1.3022433271e-05
5.7644069049e+04	1.0000606517e+00	1.3020100623e-05
5.7644089480e+04	1.0000192009e+00	1.3019678220e-05
5.7644109912e+04	9.9999541102e-01	1.3018409909e-05
5.7644130344e+04	9.9988889409e-01	1.3017748774e-05
5.7644150776e+04	1.0000057119e+00	1.3025609649e-05
5.7644232503e+04	9.9992113328e-01	1.3022968286e-05
5.7644252935e+04	1.0001234053e+00	1.3022152365e-05
5.7644273367e+04	9.9997600641e-01	1.3022467192e-05
5.7610540608e+04	9.9988948244e-01	1.3023101667e-05
5.7610581472e+04	9.9998069296e-01	1.3022374483e-05
5.7610601903e+04	1.0000959811e+00	1.3026137305e-05
5.7610622335e+04	1.0000039799e+00	1.3022837084e-05
5.7610642767e+04	1.0000238637e+00	1.3023881150e-05
5.7610663198e+04	9.9996569299e-01	1.3024039287e-05
5.7610704062e+04	1.0000327040e+00	1.3023922457e-05
5.7610724493e+04	9.9997777464e-01	1.3022716694e-05
5.7610744925e+04	9.9999538718e-01	1.3023447542e-05
5.7610765357e+04	1.0000037731e+00	1.3027065148e-05
5.7610785788e+04	9.9996427852e-01	1.3026768271e-05
5.7610806220e+04	1.0000617793e+00	1.3025819020e-05
5.7610826652e+04	1.0000424666e+00	1.3023599141e-05
5.7610847083e+04	1.0000003717e+00	1.3023563619e-05
5.7610867515e+04	9.9998479307e-01	1.3024086411e-05
5.7610887947e+04	9.9996409205e-01	1.3024663847e-05
5.7610908378e+04	1.0000767245e+00	1.3026930653e-05
5.7610928810e+04	9.9999732532e-01	1.3025456079e-05
5.7610949242e+04	1.0000342933e+00	1.3024710941e-05
5.7610969673e+04	9.9999093096e-01	1.3023923550e-05
5.7610990105e+04	9.9997584943e-01	1.3023730517e-05
5.7611010537e+04	1.0000289257e+00	1.3018732766e-05
5.7611030969e+04	9.9992409201e-01	1.3020458772e-05
5.7611051400e+04	9.9923334718e-01	1.3020397626e-05
5.7611071832e+04	9.9900384436e-01	1.3020243498e-05
5.7611092263e+04	9.9897138806e-01	1.3023891031e-05
5.7611112695e+04	9.9896512732e-01	1.3025346168e-05
5.7611133127e+04	9.9890283412e-01	1.3027331159e-05
5.7611153558e+04	9.9900020538e-01	1.3025061275e-05
5.7611173990e+04	9.9904429550e-01	1.3027714375e-05
5.7611194422e+04	9.9909562331e-01	1.3026754701e-05
5.7611214853e+04	9.9924158330e-01	1.3027054087e-05
5.7611235285e+04	1.0002051288e+00	1.3027280730e-05
5.7611255717e+04	1.0000223762e+00	1.3026162725e-05
5.7611296580e+04	9.9996659153e-01	1.3025885548e-05
5.7611317012e+04	9.9993137441e-01	1.3024501897e-05
5.7611337443e+04	9.9999364039e-01	1.3024036055e-05
5.7611357875e+04	9.9991183312e-01	1.3024275202e-05
5.7611378307e+04	9.9997279804e-01	1.3028566603e-05
5.7611398738e+04	1.0000111998e+00	1.3028226606e-05
5.7611419170e+04	9.9998082770e-01	1.3025558266e-05
5.7611439602e+04	1.0000061490e+00	1.3024241139e-05
5.7611460033e+04	1.0000163584e+00	1.3023345600e-05
5.7611480465e+04	9.9998693413e-01	1.3027339620e-05
5.7611500897e+04	1.0000411428e+00	1.3026538412e-05
5.7611521328e+04	1.0000121850e+00	1.3025796492e-05
5.7611541760e+04	9.9996543680e-01	1.3026253500e-05
5.7611562192e+04	9.9994983122e-01	1.3027165291e-05
5.7611603055e+04	1.0001799365e+00	1.3026847764e-05
5.7611623487e+04	1.0001008795e+00	1.3025017778e-05
5.7611643918e+04	1.0000248566e+00	1.3026927148e-05
5.7611664350e+04	9.9997624937e-01	1.3026421847e-05
5.7611684782e+04	9.9997642736e-01	1.3026171520e-05
5.7611705213e+04	9.9995507427e-01	1.3025717621e-05
5.7611725645e+04	9.9995387023e-01	1.3025264317e-05
5.7631605665e+04	9.9999851481e-01	1.3024530526e-05
5.7631626096e+04	1.0000676053e+00	1.3024179512e-05
5.7631646528e+04	9.9996559322e-01	1.3023376434e-05
5.7631666960e+04	1.0000104548e+00	1.3022380525e-05
5.7631707823e+04	1.0000061911e+00	1.3028932705e-05
5.7631728255e+04	1.0000423064e+00	1.3028954709e-05
5.7631748687e+04	9.9998646009e-01	1.3027487795e-05
5.7631809982e+04	9.9997034950e-01	1.3025924724e-05
5.7631850845e+04	9.9995742584e-01	1.3023910861e-05
5.7631871277e+04	9.9996368783e-01	1.3024345365e-05
5.7631891709e+04	1.0000136596e+00	1.3023392672e-05
5.7631953004e+04	9.9998938937e-01	1.3023531035e-05
5.7631993867e+04	1.0000036294e+00	1.3028335654e-05
5.7632014299e+04	9.9997607110e-01	1.3027879249e-05
5.7632034731e+04	9.9998060347e-01	1.3027526819e-05
5.7632055162e+04	1.0000318725e+00	1.3027109182e-05
5.7632116458e+04	9.9908378090e-01	1.3025609581e-05
5.7632198185e+04	9.9895879526e-01	1.3026111392e-05
5.7632218616e+04	9.9897186696e-01	1.3026145298e-05
5.7632259480e+04	9.9908297119e-01	1.3026064570e-05
5.7632300343e+04	9.9994853599e-01	1.3025057359e-05
5.7632382070e+04	1.0000999409e+00	1.3025524404e-05
5.7632443365e+04	1.0000175982e+00	1.3027376818e-05
5.7632627251e+04	9.9998790205e-01	1.3029036206e-05
5.7632688546e+04	1.0000302866e+00	1.3028506625e-05
5.7632708978e+04	9.9993233029e-01	1.3029003358e-05
