# HJD    Flux    Flux_err
7082.61697917    1.00784    0.00758
7082.61760417    1.00627    0.00943
7082.61791667    0.99110    0.00812
7082.61822917    1.00186    0.00791
7082.61885417    0.99542    0.00861
7082.61916667    0.99437    0.01064
7082.61947917    1.00494    0.00754
7082.61979167    1.00617    0.00750
7082.62010417    1.00411    0.00778
7082.62041667    0.99602    0.00883
7082.62072917    1.00381    0.00748
7082.62105324    1.00459    0.00746
7082.62136574    0.99294    0.00758
7082.62199074    1.00171    0.00794
7082.62230324    0.99253    0.00764
7082.62261574    1.00546    0.00763
7082.62324074    1.00935    0.00745
7082.62355324    0.99703    0.00766
7082.62386574    1.00186    0.00784
7082.62417824    1.00072    0.00787
7082.62449074    0.98943    0.00769
7082.62480324    0.98848    0.00773
7082.62511574    0.98874    0.00822
7082.62542824    0.99186    0.00834
7082.62575231    0.98877    0.00777
7082.62606481    0.99403    0.00787
7082.62637731    0.99471    0.00766
7082.62668981    0.99791    0.00769
7082.62700231    0.99531    0.00777
7082.62731481    0.99508    0.00772
7082.62762731    0.99189    0.00781
7082.62793981    0.99308    0.00765
7082.62825231    0.99494    0.00763
7082.62856482    0.99146    0.00765
7082.62887731    1.00332    0.00767
7082.62918981    1.00174    0.00761
7082.62981481    1.00141    0.00758
7082.63012731    0.99403    0.00768
7082.63045139    0.99513    0.00820
7082.63076389    1.00391    0.00769
7082.63107639    0.99213    0.00766
7082.63138889    1.00151    0.00759
7082.63170139    0.99780    0.00760
7082.63201389    0.99397    0.00814
7082.63232639    0.98879    0.00806
7082.63263889    0.99038    0.00878
7082.63295139    0.98580    0.00771
7082.63326389    0.99189    0.00768
7082.63357639    0.99557    0.00856
7082.63388889    0.99869    0.00909
7082.63420139    0.99307    0.00764
7082.63451389    0.99166    0.00773
7082.63482639    0.98722    0.00885
7082.63513889    0.98604    0.00780
7082.63546296    0.99593    0.00777
7082.63577546    0.99283    0.00767
7082.63608796    0.98815    0.00799
7082.63640046    0.98908    0.00776
7082.63671296    0.98791    0.00790
7082.63702546    0.99231    0.00820
7082.63733796    0.98990    0.00775
7082.63765046    0.99522    0.00767
7082.63796296    0.99075    0.00773
7082.63827546    0.99556    0.00867
7082.63858796    0.99687    0.00772
7082.63890046    1.00190    0.00777
7082.63921296    0.99003    0.00803
7082.63952546    0.99475    0.00790
7082.63984954    0.99325    0.00768
7082.64016204    0.99800    0.00761
7082.64047454    0.99682    0.00758
7082.64078704    0.99594    0.00760
7082.64109954    0.99950    0.00830
7082.64141204    0.99635    0.00763
7082.64172454    1.00251    0.00754
7082.64203704    1.00005    0.00773
7082.64234954    0.99441    0.00760
7082.64266204    0.99777    0.00779
7082.64297454    0.99210    0.00773
7082.64328704    0.99904    0.00778
7082.64359954    0.99784    0.00768
7082.64391204    0.99542    0.00790
7082.64423611    1.00585    0.00751
7082.64454861    0.98824    0.00865
