time	TF2
4128.812774794642	-12.0244140625
4128.8134695338085	-12.102935791015625
4128.814164272975	-12.0244140625
4128.814859000035	-12.0931396484375
4128.815553739201	-12.0244140625
4128.816248477902	-12.112701416015625
4128.816943217069	-12.004730224609375
4128.817637956236	-12.0244140625
4128.818332683761	-12.102935791015625
4128.819027422462	-12.0244140625
4128.819722161628	-12.0931396484375
4128.820416900795	-12.0244140625
4128.82111162832	-12.102935791015625
4128.821806367021	-12.0440673828125
4128.822501106188	-12.0244140625
4128.82319585653	-12.12249755859375
4128.823890595697	-12.0440673828125
4128.824585322756	-12.063720703125
4128.825280061923	-12.03424072265625
4128.82597480109	-12.112701416015625
4128.826669539791	-12.03424072265625
4128.827364278957	-12.063720703125
4128.828059006017	-12.07354736328125
4128.828753745183	-12.05389404296875
4128.829448483884	-12.13226318359375
4128.830143223517	-12.0931396484375
4128.830837962218	-12.08331298828125
4128.831532689743	-12.05389404296875
4128.832227428909	-12.05389404296875
4128.83292216761	-12.102935791015625
4128.833616906777	-12.102935791015625
4128.834311645478	-12.0931396484375
4128.835006373003	-12.0440673828125
4128.835701111704	-12.05389404296875
4128.836395850871	-12.05389404296875
4128.83778534038	-12.102935791015625
4128.838480067905	-12.0931396484375
4128.839174806606	-12.13226318359375
4128.839869545773	-12.03424072265625
4128.842648490332	-12.07354736328125
4128.843343228567	-11.9849853515625
4128.8440379682	-12.112701416015625
4128.844732706435	-12.03424072265625
4128.845427434426	-12.05389404296875
4128.846122172661	-12.0244140625
4128.864880078472	-11.975128173828125
4128.865574805997	-11.95538330078125
4128.866269544698	-12.004730224609375
4128.866964283865	-12.004730224609375
4128.8676590342075	-12.00469970703125
4128.868353773374	-12.073516845703125
4128.869048500434	-12.014556884765625
4128.8697432396	-12.014556884765625
4128.870437978301	-11.9849853515625
4128.871132717468	-11.994842529296875
4128.871827456169	-12.063720703125
4128.872522183694	-12.0440673828125
4128.873216922395	-12.0244140625
4128.873911661096	-12.08331298828125
4128.874606400263	-12.0244140625
4128.875301138964	-12.014556884765625
4128.875995866954	-12.0440673828125
4128.87669060519	-12.0440673828125
4128.877385344822	-12.102935791015625
4128.878080083523	-12.0244140625
4128.87877482269	-12.004730224609375
4128.879469549749	-12.05389404296875
4128.880164288916	-12.014556884765625
4128.880859027617	-12.05389404296875
4128.881553766783	-12.08331298828125
4128.882248517126	-12.014556884765625
4128.882943244185	-12.0244140625
4128.883637983352	-12.03424072265625
4128.884332722053	-12.0440673828125
4128.88502746122	-12.014556884765625
4128.885722188279	-12.063720703125
4128.886416927446	-12.08331298828125
4128.887111666147	-12.08331298828125
4128.887806405779	-12.0931396484375
4128.888501144014	-12.0244140625
4128.889195883181	-12.0244140625
4128.88989061024	-12.0244140625
4128.890585349407	-12.05389404296875
4128.891280088108	-12.08331298828125
4128.891974827275	-12.0440673828125
4128.8926695548	-12.08331298828125
4128.893364293501	-12.004730224609375
4128.894059032202	-12.05389404296875
4128.894753771368	-12.03424072265625
4128.895448510069	-12.05389404296875
4128.8961432375945	-12.102935791015625
4128.8968379762955	-12.0440673828125
4128.897532727104	-12.05389404296875
4128.898227465805	-11.96527099609375
4128.898922204506	-12.05389404296875
4128.899616932031	-12.03424072265625
4128.900311670732	-12.063720703125
4128.901006409898	-12.102935791015625
4128.901701148599	-12.05389404296875
4128.9023958873	-12.112701416015625
4128.903090615291	-12.05389404296875
4128.9037853535265	-12.05389404296875
4128.904480093159	-12.0244140625
4128.905174831394	-12.05389404296875
4128.905869570561	-12.0931396484375
4128.90656429762	-12.0244140625
4128.907953775488	-12.03424072265625
4128.910732719582	-12.08331298828125
4128.911427458748	-12.08331298828125
4128.912122208625	-12.0931396484375
4128.912816947792	-12.0440673828125
4128.932964317501	-11.975128173828125
4128.93365904456	-11.94549560546875
4128.934353783727	-11.975128173828125
4128.935048522428	-12.014556884765625
